#{"t_start": 1768746534.8382254, "env_id": "BipedalWalker-v3"}
r,l,t
302.178334,853,2483.058356
298.601537,874,2485.20581
301.642833,887,2487.421613
300.807626,882,2489.650481
297.453058,906,2491.904437
302.86043,838,2494.185052
300.428504,879,2496.325108
297.507147,882,2498.552568
299.751193,848,2500.730254
302.187065,851,2502.817817
302.356585,833,2504.965883
307.439162,830,2507.037894
305.842899,801,2509.091069
299.356455,875,2511.083747
299.169626,889,2513.302282
299.902421,856,2515.572196
303.646058,814,2517.700177
303.670469,804,2519.766044
303.643321,820,2521.734062
301.076896,849,2523.749781
304.898869,814,2525.89029
301.646335,839,2527.877779
302.208379,828,2529.943703
300.709736,820,2531.949636
298.64275,871,2533.99725
302.156218,832,2536.201947
299.232697,844,2538.292694
303.309498,824,2540.446937
299.230345,892,2542.588816
300.003039,866,2544.859573
299.353558,856,2547.014867
297.675475,889,2549.124252
303.175681,814,2551.33367
300.909138,857,2553.369486
305.991864,791,2555.453119
300.888003,848,2557.449189
298.692249,860,2559.569007
296.578103,893,2561.777966
299.575951,840,2564.039749
-109.541009,86,2565.929451
300.415223,860,2566.420417
303.110586,850,2568.610358
300.252,837,2570.728779
296.61182,907,2572.807
303.219805,808,2575.096684
300.493737,870,2577.169878
301.679311,791,2579.281077
301.29119,828,2581.306382
298.195081,844,2583.394758
302.021585,828,2585.531312
302.113796,816,2587.582338
303.560205,833,2589.583423
292.061225,962,2591.768946
302.473179,812,2594.081681
304.128676,821,2596.160557
299.725089,846,2598.223426
297.119173,871,2600.316312
304.205842,832,2602.463165
299.188824,859,2604.540979
